"itemTitle","itemNote","itemCategory","itemLocation","itemTag","itemDateTime","itemPrice1","itemQty","itemPrice2","itemQtyMin","itemTitle1","itemDesc","itemCustomBarcode","itemASIN","itemUPC","itemISBN","itemEAN","itemModel","itemSerial","itemAttachment"
"#19 Leather Ski Boots","","Ski Boots","","","2015-07-05 13:28","0.0","0","0.0","0.0","","","000019","","","","","","","* 150705_132745.jpg
* 150705_132856.jpg"
"#2 Plastic Ski Boots","","Ski Boots","","","2015-06-02 17:26","0.0","0","0.0","1.0","Size 39","","000002","","","","","","","* 20150512_183358-resized-1024.jpg
* 20150512_183407-resized-1024.jpg"
"#20 Leather Ski Boots","","Ski Boots","","","2015-07-05 13:31","0.0","0","0.0","0.0","","","000020","","","","","","","* 150705_133126.jpg
* 150705_133151.jpg"
"#21 Leather Ski Boots","","Ski Boots","","","2015-07-05 13:33","0.0","0","0.0","0.0","","","000021","","","","","","","* 150705_133255.jpg
* 150705_133306.jpg"
"#22 Leather Ski Boots","","Ski Boots","","","2015-07-05 13:40","0.0","0","0.0","0.0","","","000022","","","","","","","* 150705_134007.jpg
* 150705_134021.jpg"
"#23 Leather Ski Boots","","Ski Boots","","","2015-07-05 13:41","0.0","0","0.0","0.0","","","000023","","","","","","","* 150705_134127.jpg
* 150705_134140.jpg"
"#24 Leather Ski Boots","","Ski Boots","","","2015-07-05 13:42","0.0","0","0.0","0.0","","","000024","","","","","","","* 150705_134225.jpg
* 150705_134250.jpg"
"#25 Leather Ski Boots","","Ski Boots","","","2015-07-05 13:44","0.0","0","0.0","0.0","","","000025","","","","","","","* 150705_134414.jpg"
"#26 Leather Ski Boots","","Ski Boots","","","2015-07-05 14:22","0.0","0","0.0","0.0","Size 40","","000026","","","","","","","* 150705_142148.jpg
* 150705_142207.jpg"
"#27 Leather Ski Boots","","Ski Boots","","","2015-07-05 14:22","0.0","0","0.0","0.0","","","000027","","","","","","","* 150705_142236.jpg
* 150705_142248.jpg"
"#28 Leather Ski Boots","","Ski Boots","","","2015-07-05 14:23","0.0","0","0.0","0.0","","","000028","","","","","","","* 150705_142318.jpg
* 150705_142330.jpg"
